idx,title,etc,description,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
462,The Searchers,Adventure Drama Western,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,10,0.171117,0.675574,0.065865,0.545527,0.132695,https://whatdoido.kro.kr/movie/462.jpg
463,Metropolis,Drama Sci-Fi,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",10,0.071863,0.741011,0.072255,0.020565,0.043485,https://whatdoido.kro.kr/movie/463.jpg
464,The Man from Earth,Drama Fantasy Mystery,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,10,0.034387,0.829197,0.023563,0.051054,0.08316,https://whatdoido.kro.kr/movie/464.jpg
465,Togo,Adventure Biography Drama,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",10,0.038198,0.900425,0.013707,0.023144,0.017397,https://whatdoido.kro.kr/movie/465.jpg
466,Adaptation.,Comedy Drama,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,2,0.304441,0.337168,0.067237,0.046133,0.409521,https://whatdoido.kro.kr/movie/466.jpg
467,Detachment,Drama,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,10,0.523735,0.623923,0.102555,0.140931,0.432835,https://whatdoido.kro.kr/movie/467.jpg
468,Roman Holiday,Comedy Romance,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,,0.089624,0.829858,0.037186,0.010728,0.050008,https://whatdoido.kro.kr/movie/468.jpg
469,The French Connection,Action Crime Drama,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,4,0.220885,0.59836,0.034872,0.084975,0.126639,https://whatdoido.kro.kr/movie/469.jpg
470,"Synecdoche, New York",Drama,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",6,0.714802,0.030588,0.423046,0.023782,0.028056,https://whatdoido.kro.kr/movie/470.jpg
471,Before Sunset,Drama Romance,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",10,0.466727,0.767502,0.051882,0.047901,0.049055,https://whatdoido.kro.kr/movie/471.jpg
472,Kelly's Heroes,Adventure Comedy War,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,10,0.101692,0.753264,0.03982,0.07676,0.064118,https://whatdoido.kro.kr/movie/472.jpg
473,The Last Emperor,Biography Drama History,The story of the final Emperor of China.,10,0.297203,0.604508,0.026355,0.021777,0.016473,https://whatdoido.kro.kr/movie/473.jpg
474,Clerks,Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",8,0.008741,0.809641,0.006426,0.145782,0.062194,https://whatdoido.kro.kr/movie/474.jpg
475,50/50,Comedy Drama Romance,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",4,0.607087,0.211485,0.153939,0.110666,0.474218,https://whatdoido.kro.kr/movie/475.jpg
476,Paddington 2,Animation Adventure Comedy,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",8,0.025985,0.91032,0.028485,0.006084,0.034766,https://whatdoido.kro.kr/movie/476.jpg
477,The Apartment,Comedy Drama Romance,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",10,0.177657,0.746368,0.034097,0.033716,0.030349,https://whatdoido.kro.kr/movie/477.jpg
478,Malcolm X,Biography Drama History,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",7,0.395172,0.523233,0.047272,0.019308,0.053189,https://whatdoido.kro.kr/movie/478.jpg
479,Manhattan,Comedy Drama Romance,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,,0.041149,0.797387,0.012506,0.094918,0.09603,https://whatdoido.kro.kr/movie/479.jpg
480,Dirty Harry,Action Crime Thriller,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",10,0.380896,0.499952,0.088764,0.030031,0.062651,https://whatdoido.kro.kr/movie/480.jpg
481,Rebecca,Drama Mystery Romance,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,10,0.075563,0.346103,0.028059,0.381849,0.359217,https://whatdoido.kro.kr/movie/481.jpg
482,High Noon,Drama Thriller Western,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",8,0.364892,0.14241,0.264932,0.054191,0.431006,https://whatdoido.kro.kr/movie/482.jpg
483,Naked,Comedy Drama,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",10,0.565622,0.375878,0.005128,0.037661,0.014841,https://whatdoido.kro.kr/movie/483.jpg
484,Gandhi,Biography Drama History,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,,0.137484,0.755894,0.012773,0.04357,0.094464,https://whatdoido.kro.kr/movie/484.jpg
485,Funny Games,Crime Drama Thriller,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",1,0.601976,0.150463,0.047797,0.076399,0.259311,https://whatdoido.kro.kr/movie/485.jpg
486,Dawn of the Dead,Horror Thriller,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",10,0.46781,0.645774,0.096151,0.039679,0.183813,https://whatdoido.kro.kr/movie/486.jpg
487,The Insider,Biography Drama Thriller,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,,0.087254,0.858485,0.015771,0.009199,0.016186,https://whatdoido.kro.kr/movie/487.jpg
488,A Streetcar Named Desire,Drama,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,5,0.647053,0.054904,0.044041,0.184948,0.312806,https://whatdoido.kro.kr/movie/488.jpg
